crash_id,ra_code
20241115,1
20241125,1
20246013,1
20241002,2
20243185,1
20244016,2
20243168,1
20246003,1
20246001,2
20244081,2
20241087,3
20241054,1
20244042,2
20243246,2
20241101,3
20241216,3
20241300,2
20243007,2
20241278,2
20241149,3
20241068,2
20243273,2
20244020,1
20244055,2
20241094,1
20243160,2
20243209,2
20244001,1
20243243,3
20246016,2
20241119,1
20241169,1
20241291,2
20243036,1
20244026,4
20241077,3
20241028,3
20241022,2
20243015,1
20244023,1
20241098,1
20243114,5
20241040,2
20241174,3
20241088,2
20241255,1
20241053,2
20243046,1
20241080,3
20243044,5
20241274,3
20243176,2
20241181,2
20243110,4
20244044,1
20243147,2
20244019,5
20241194,3
20241139,3
20241197,1
20243220,2
20243267,1
20241057,1
20243174,1
20241166,1
20243213,1
20241096,2
20242089,3
20243073,3
20241027,2
20241163,2
20243143,2
20241222,3
20241218,1
20243249,5
20243098,1
20241306,3
20243037,2
20244083,3
20241196,1
20244028,1
20243038,1
20242023,1
20242230,1
20242127,3
20242120,2
20241106,1
20241230,3
20241055,3
20241267,1
20242260,3
20242057,1
20243153,4
20242161,3
20241236,1
20243172,1
20241188,1
20243191,1
20241256,1
20242019,2
20243008,1
20243001,2
20243041,2
20244021,3
20243113,3
20241107,2
20243022,3
20248002,3
20242088,3
20241173,2
20241004,3
20246004,2
20241201,3
20241029,2
20243005,1
20241261,3
20244024,1
20241215,2
20243186,1
20243208,3
20241134,3
20243040,1
20241263,1
20241302,1
20241147,3
20243248,3
20243096,1
20241150,3
20241247,1
20241234,1
20242110,1
20242052,1
20243247,2
20243144,1
20241235,1
20243087,1
20244061,5
20241009,1
20241072,2
20243129,3
20242219,1
20241219,1
20244010,1
20244040,3
20243171,2
20242075,1
20243079,4
20241045,1
20243017,2
20241160,1
20241081,1
20241135,2
20241209,3
20242140,1
20242142,1
20243107,2
20243020,3
20241151,2
20243158,2
20241286,2
20243102,3
20241303,3
20246029,2
20248005,3
20244018,3
20241060,1
20242022,1
20241037,3
20241257,1
20241128,3
20243089,3
20242181,1
20243082,5
20243150,3
20243170,3
20243239,5
20242040,2
20243084,3
20241030,1
20243127,1
20243003,1
20243266,5
20241042,3
20243121,1
20241175,3
20243072,1
20244057,3
20241091,4
20243201,2
20242135,2
20243225,1
20241167,3
20244060,1
20241268,2
20244013,3
20243235,3
20244059,2
20241266,1
20243131,3
20242080,2
20241287,1
20241152,1
20243161,1
20242042,3
20243210,2
20244025,2
20243088,2
20241211,3
20242007,1
20241204,3
20244062,3
20241137,1
20243117,3
20242081,3
20243206,3
20248003,3
20244032,1
20241153,3
20242138,1
20243198,2
20242107,3
20243080,1
20242204,1
20242139,1
20241103,2
20242129,1
20244027,1
20243006,3
20243108,1
20243212,3
20241237,3
20241052,1
20241308,2
20246027,1
20244072,3
20241195,1
20244043,3
20241102,3
20243194,3
20243070,3
20243165,3
20241063,3
20241132,3
20241292,3
20241189,1
20241233,2
20242115,1
20242167,3
20241016,2
20243234,3
20246025,2
20241220,1
20241034,2
20242012,1
20243009,3
20241269,1
20242093,3
20242176,1
20242255,1
20241066,1
20242175,1
20243207,1
20242029,3
20241246,1
20241078,3
20243064,2
20241013,5
20246019,2
20242257,3
20241138,3
20244014,3
20244069,1
20242053,1
20243111,2
20243067,2
20242186,3
20242250,3
20243167,2
20243106,3
20242098,3
20241179,1
20242070,1
20243261,4
20243227,2
20242243,1
20242102,3
20241109,4
20243187,1
20241301,3
20243135,2
20241248,3
20243268,4
20242071,3
20241020,2
20241294,1
20241304,1
20242123,1
20242144,1
20241199,3
20243066,2
20243233,2
20243203,2
20242209,1
20242056,3
20242130,1
20243109,2
20243010,4
20243181,3
20246018,1
20241071,3
20241186,1
20243078,3
20241223,3
20241221,3
20241143,1
20243242,2
20242189,3
20242170,3
20243043,3
20241140,1
20244063,5
20241131,2
20242172,3
20241111,3
20242055,3
20241017,3
20244067,3
20246024,4
20241254,1
20243011,1
20246011,2
20242177,3
20241127,2
20241210,2
20242132,1
20242184,1
20241253,1
20243024,3
20242224,3
20243031,3
20242069,3
20243156,3
20242251,3
20244034,3
20242090,3
20243231,2
20242194,1
20243142,2
20242043,3
20243124,2
20244007,1
20242060,3
20243104,2
20244041,4
20246026,2
20243021,2
20242155,1
20242032,3
20241285,3
20244066,2
20242064,3
20242164,3
20244035,1
20243018,3
20242086,3
20243217,2
20243251,1
20243058,2
20244046,1
20243085,1
20244039,1
20243240,2
20246002,2
20242099,1
20243063,3
20241176,3
20247022,4
20241086,3
20241224,1
20241265,3
20241202,2
20246023,1
20241293,2
20241299,1
20244078,3
20243164,3
20242201,1
20241307,1
20242074,1
20241243,2
20247034,2
20241260,2
20243004,2
20246014,2
20242024,2
20243169,1
20243081,1
20242169,2
20241110,3
20241082,3
20241159,2
20246022,1
20241229,1
20242026,1
20242268,1
20242238,1
20242122,3
20241046,1
20243192,1
20241032,1
20241031,5
20243254,3
20243133,4
20241203,2
20243118,3
20243173,2
20243199,3
20244003,3
20241298,1
20242112,1
20243092,1
20243042,3
20244005,2
20243178,3
20244050,1
20241208,2
20242259,2
20242212,3
20243019,1
20241036,1
20242226,3
20247007,2
20243074,3
20241003,2
20241277,2
20241249,1
20242020,3
20242108,3
20243120,1
20242187,1
20243116,2
20242133,3
20241092,3
20242121,3
20243214,2
20241118,2
20243157,3
20241190,1
20241097,1
20242265,1
20241250,3
20242200,1
20242234,1
20242048,3
20242003,1
20243252,3
20243061,2
20242162,3
20244071,3
20241047,3
20241205,3
20241024,3
20242096,3
20242240,3
20243139,3
20243075,3
20244051,3
20241070,2
20244079,2
20243051,2
20242237,3
20243148,2
20242157,3
20244022,5
20241142,1
20241124,1
20241010,2
20241252,1
20243155,4
20243163,1
20243269,1
20243056,5
20243049,5
20243103,3
20242233,3
20243014,1
20241198,3
20242249,3
20243154,2
20241100,3
20241074,1
20243263,1
20242016,3
20244017,5
20244009,3
20242085,3
20244012,4
20243205,3
20241035,3
20241161,3
20241062,1
20243119,3
20241155,3
20243152,1
20243053,3
20241039,3
20242154,2
20243215,3
20243026,3
20241050,1
20243271,2
20241133,1
20248008,3
20244037,1
20242143,3
20241273,3
20242067,3
20242214,2
20243238,4
20242011,1
20241180,3
20241059,3
20241021,3
20242254,3
20243256,2
20241245,1
20243126,1
20244082,1
20241108,3
20242137,1
20241005,1
20241051,1
20243128,2
20242109,3
20241116,3
20243226,1
20242092,3
20242125,3
20244077,1
20242049,3
