crash_id,road_type_id
20241115,1
20241125,2
20246013,2
20241002,3
20243185,3
20244016,4
20243168,2
20246003,2
20246001,3
20244081,2
20241087,3
20241054,3
20244042,2
20243246,5
20241101,3
20241216,5
20241300,3
20243007,3
20241278,1
20241149,5
20241068,3
20243273,2
20244020,4
20244055,3
20241094,3
20243160,3
20243209,2
20244001,1
20243243,4
20246016,3
20241119,2
20241169,3
20241291,3
20243036,2
20244026,2
20241077,5
20241028,5
20241022,4
20243015,2
20244023,4
20241098,4
20243114,4
20241040,3
20241174,1
20241088,1
20241255,1
20241053,1
20243046,5
20241080,1
20243044,3
20241274,3
20243176,5
20241181,3
20243110,2
20244044,4
20243147,3
20244019,5
20241194,1
20241139,2
20241197,3
20243220,5
20243267,3
20241057,3
20243174,3
20241166,4
20243213,3
20241096,3
20242089,1
20243073,4
20241027,3
20241163,4
20243143,2
20241222,3
20241218,3
20243249,5
20243098,4
20241306,5
20243037,2
20244083,2
20241196,4
20244028,1
20243038,2
20242023,4
20242230,1
20242127,5
20242120,1
20241106,4
20241230,1
20241055,2
20241267,2
20242260,1
20242057,1
20243153,4
20242161,4
20241236,1
20243172,6
20241188,3
20243191,4
20241256,1
20242019,3
20243008,5
20243001,3
20243041,4
20244021,1
20243113,2
20241107,1
20243022,5
20248002,1
20242088,4
20241173,3
20241004,2
20246004,3
20241201,2
20241029,3
20243005,3
20241261,3
20244024,2
20241215,3
20243186,2
20243208,4
20241134,1
20243040,3
20241263,2
20241302,3
20241147,5
20243248,2
20243096,2
20241150,1
20241247,3
20241234,1
20242110,3
20242052,1
20243247,4
20243144,3
20241235,1
20243087,5
20244061,3
20241009,1
20241072,4
20243129,3
20242219,3
20241219,1
20244010,1
20244040,5
20243171,3
20242075,1
20243079,4
20241045,2
20243017,3
20241160,4
20241081,3
20241135,3
20241209,3
20242140,3
20242142,4
20243107,4
20243020,2
20241151,2
20243158,3
20241286,1
20243102,4
20241303,1
20246029,3
20248005,1
20244018,5
20241060,1
20242022,2
20241037,1
20241257,2
20241128,3
20243089,5
20242181,2
20243082,3
20243150,3
20243170,4
20243239,3
20242040,3
20243084,4
20241030,1
20243127,3
20243003,2
20243266,7
20241042,3
20243121,4
20241175,5
20243072,5
20244057,3
20241091,3
20243201,2
20242135,3
20243225,4
20241167,5
20244060,4
20241268,3
20244013,4
20243235,2
20244059,3
20241266,1
20243131,4
20242080,2
20241287,1
20241152,3
20243161,4
20242042,1
20243210,5
20244025,1
20243088,4
20241211,3
20242007,3
20241204,3
20244062,2
20241137,3
20243117,4
20242081,1
20243206,4
20248003,5
20244032,5
20241153,5
20242138,3
20243198,2
20242107,2
20243080,5
20242204,4
20242139,7
20241103,1
20242129,2
20244027,1
20243006,4
20243108,4
20243212,5
20241237,2
20241052,3
20241308,4
20246027,2
20244072,5
20241195,4
20244043,4
20241102,1
20243194,3
20243070,3
20243165,2
20241063,1
20241132,3
20241292,1
20241189,2
20241233,3
20242115,4
20242167,4
20241016,2
20243234,2
20246025,4
20241220,4
20241034,2
20242012,2
20243009,7
20241269,1
20242093,2
20242176,4
20242255,4
20241066,2
20242175,7
20243207,2
20242029,2
20241246,1
20241078,2
20243064,3
20241013,4
20246019,3
20242257,5
20241138,2
20244014,4
20244069,1
20242053,1
20243111,3
20243067,2
20242186,3
20242250,2
20243167,3
20243106,4
20242098,2
20241179,4
20242070,1
20243261,2
20243227,2
20242243,2
20242102,1
20241109,3
20243187,2
20241301,2
20243135,2
20241248,5
20243268,2
20242071,1
20241020,3
20241294,3
20241304,4
20242123,3
20242144,2
20241199,1
20243066,2
20243233,3
20243203,3
20242209,1
20242056,4
20242130,1
20243109,3
20243010,4
20243181,4
20246018,1
20241071,1
20241186,3
20243078,2
20241223,3
20241221,1
20241143,1
20243242,4
20242189,2
20242170,1
20243043,4
20241140,3
20244063,3
20241131,1
20242172,1
20241111,1
20242055,5
20241017,2
20244067,5
20246024,1
20241254,4
20243011,5
20246011,1
20242177,6
20241127,7
20241210,1
20242132,4
20242184,1
20241253,4
20243024,3
20242224,2
20243031,2
20242069,2
20243156,2
20242251,4
20244034,5
20242090,3
20243231,4
20242194,5
20243142,3
20242043,2
20243124,3
20244007,5
20242060,4
20243104,2
20244041,3
20246026,5
20243021,3
20242155,3
20242032,1
20241285,1
20244066,4
20242064,5
20242164,1
20244035,1
20243018,4
20242086,1
20243217,4
20243251,3
20243058,4
20244046,1
20243085,2
20244039,4
20243240,4
20246002,3
20242099,3
20243063,5
20241176,3
20247022,3
20241086,1
20241224,4
20241265,3
20241202,1
20246023,1
20241293,3
20241299,3
20244078,5
20243164,2
20242201,2
20241307,4
20242074,4
20241243,3
20247034,4
20241260,2
20243004,3
20246014,7
20242024,5
20243169,4
20243081,3
20242169,1
20241110,2
20241082,1
20241159,4
20246022,4
20241229,4
20242026,4
20242268,2
20242238,2
20242122,1
20241046,1
20243192,4
20241032,2
20241031,3
20243254,4
20243133,2
20241203,4
20243118,4
20243173,2
20243199,5
20244003,5
20241298,1
20242112,1
20243092,3
20243042,2
20244005,2
20243178,2
20244050,5
20241208,1
20242259,1
20242212,5
20243019,5
20241036,3
20242226,2
20247007,4
20243074,5
20241003,2
20241277,4
20241249,2
20242020,1
20242108,1
20243120,3
20242187,3
20243116,3
20242133,4
20241092,3
20242121,1
20243214,3
20241118,4
20243157,4
20241190,1
20241097,1
20242265,1
20241250,1
20242200,4
20242234,2
20242048,1
20242003,2
20243252,5
20243061,5
20242162,3
20244071,3
20241047,5
20241205,1
20241024,1
20242096,3
20242240,3
20243139,5
