crash_id,road_id
20241115,1
20241125,2
20246013,3
20241002,4
20243185,4
20244016,5
20243168,6
20246003,3
20246001,4
20244081,3
20241087,7
20241054,8
20244042,9
20243246,10
20241101,11
20241216,12
20241300,4
20243007,4
20241278,1
20241149,13
20241068,8
20243273,9
20244020,5
20244055,8
20241094,14
20243160,4
20243209,3
20244001,1
20243243,15
20246016,4
20241119,9
20241169,16
20241291,8
20243036,9
20244026,3
20241077,17
20241028,17
20241022,5
20243015,6
20244023,5
20241098,18
20243114,5
20241040,4
20241174,19
20241088,1
20241255,1
20241053,1
20243046,12
20241080,19
20243044,4
20241274,4
20243176,12
20241181,8
20243110,6
20244044,5
20243147,16
20244019,20
20241194,21
20241139,3
20241197,4
20243220,20
20243267,22
20241057,8
20243174,16
20241166,5
20243213,4
20241096,4
20242089,19
20243073,15
20241027,4
20241163,5
20243143,9
20241222,4
20241218,8
20243249,20
20243098,23
20241306,12
20243037,3
20244083,6
20241196,24
20244028,1
20243038,9
20242023,15
20242230,1
20242127,10
20242120,1
20241106,24
20241230,25
20241055,3
20241267,3
20242260,21
20242057,1
20243153,5
20242161,24
20241236,21
20243172,26
20241188,4
20243191,5
20241256,1
20242019,4
20243008,10
20243001,16
20243041,5
20244021,19
20243113,6
20241107,1
20243022,12
20248002,21
20242088,23
20241173,8
20241004,3
20246004,8
20241201,3
20241029,16
20243005,11
20241261,22
20244024,2
20241215,4
20243186,2
20243208,27
20241134,21
20243040,11
20241263,3
20241302,8
20241147,17
20243248,28
20243096,3
20241150,29
20241247,4
20241234,1
20242110,16
20242052,25
20243247,5
20243144,4
20241235,21
20243087,20
20244061,8
20241009,21
20241072,24
20243129,4
20242219,4
20241219,21
20244010,1
20244040,17
20243171,4
20242075,21
20243079,5
20241045,3
20243017,4
20241160,30
20241081,4
20241135,4
20241209,8
20242140,4
20242142,5
20243107,23
20243020,6
20241151,9
20243158,4
20241286,21
20243102,23
20241303,1
20246029,14
20248005,21
20244018,31
20241060,21
20242022,6
20241037,25
20241257,3
20241128,4
20243089,12
20242181,9
20243082,4
20243150,4
20243170,24
20243239,4
20242040,4
20243084,23
20241030,21
20243127,16
20243003,9
20243266,32
20241042,16
20243121,5
20241175,17
20243072,10
20244057,22
20241091,8
20243201,9
20242135,4
20243225,23
20241167,17
20244060,5
20241268,4
20244013,24
20243235,33
20244059,8
20241266,21
20243131,24
20242080,9
20241287,1
20241152,4
20243161,5
20242042,21
20243210,12
20244025,34
20243088,30
20241211,7
20242007,4
20241204,16
20244062,2
20241137,8
20243117,24
20242081,19
20243206,24
20248003,35
20244032,31
20241153,12
20242138,4
20243198,9
20242107,36
20243080,20
20242204,23
20242139,37
20241103,21
20242129,9
20244027,21
20243006,30
20243108,5
20243212,35
20241237,3
20241052,4
20241308,30
20246027,3
20244072,17
20241195,23
20244043,30
20241102,19
20243194,11
20243070,4
20243165,2
20241063,25
20241132,11
20241292,19
20241189,9
20241233,8
20242115,5
20242167,24
20241016,9
20243234,6
20246025,23
20241220,23
20241034,3
20242012,3
20243009,32
20241269,29
20242093,3
20242176,5
20242255,5
20241066,33
20242175,38
20243207,6
20242029,6
20241246,21
20241078,28
20243064,4
20241013,5
20246019,16
20242257,17
20241138,3
20244014,27
20244069,19
20242053,1
20243111,4
20243067,9
20242186,16
20242250,6
20243167,7
20243106,15
20242098,6
20241179,23
20242070,21
20243261,9
20243227,9
20242243,3
20242102,19
20241109,4
20243187,6
20241301,2
20243135,9
20241248,12
20243268,9
20242071,19
20241020,4
20241294,11
20241304,23
20242123,11
20242144,6
20241199,21
20243066,3
20243233,4
20243203,4
20242209,1
20242056,15
20242130,1
20243109,4
20243010,5
20243181,5
20246018,21
20241071,19
20241186,7
20243078,28
20241223,14
20241221,19
20241143,1
20243242,5
20242189,3
20242170,19
20243043,23
20241140,4
20244063,8
20241131,1
20242172,19
20241111,21
20242055,12
20241017,3
20244067,13
20246024,1
20241254,23
20243011,10
20246011,21
20242177,39
20241127,37
20241210,1
20242132,5
20242184,21
20241253,5
20243024,16
20242224,6
20243031,3
20242069,6
20243156,6
20242251,24
20244034,10
20242090,4
20243231,5
20242194,20
20243142,4
20242043,3
20243124,4
20244007,10
20242060,24
20243104,6
20244041,8
20246026,35
20243021,4
20242155,4
20242032,40
20241285,25
20244066,41
20242064,12
20242164,19
20244035,1
20243018,23
20242086,21
20243217,24
20243251,4
20243058,5
20244046,1
20243085,6
20244039,5
20243240,5
20246002,4
20242099,4
20243063,12
20241176,16
20247022,42
20241086,25
20241224,23
20241265,4
20241202,29
20246023,19
20241293,8
20241299,4
20244078,17
20243164,6
20242201,9
20241307,5
20242074,5
20241243,8
20247034,24
20241260,28
20243004,16
20246014,43
20242024,12
20243169,15
20243081,4
20242169,1
20241110,3
20241082,19
20241159,5
20246022,30
20241229,23
20242026,24
20242268,2
20242238,3
20242122,19
20241046,1
20243192,5
20241032,2
20241031,16
20243254,24
20243133,9
20241203,5
20243118,24
20243173,2
20243199,13
20244003,12
20241298,29
20242112,1
20243092,4
20243042,6
20244005,9
20243178,6
20244050,17
20241208,1
20242259,1
20242212,17
20243019,12
20241036,22
20242226,3
20247007,41
20243074,12
20241003,9
20241277,5
20241249,3
20242020,19
20242108,19
20243120,11
20242187,4
20243116,4
20242133,24
20241092,11
20242121,19
20243214,4
20241118,5
20243157,15
20241190,21
20241097,1
20242265,1
20241250,25
20242200,5
20242234,9
20242048,25
20242003,2
20243252,10
20243061,20
20242162,16
20244071,16
20241047,17
20241205,19
20241024,19
20242096,16
20242240,11
20243139,13
20243075,35
