user_id,road_user_type,gender,age,age_group,age_group_id
1,Driver,Male,74,65_to_74,1
2,Driver,Female,19,17_to_25,2
3,Driver,Female,33,26_to_39,3
4,Driver,Female,32,26_to_39,3
5,Passenger,Female,61,40_to_64,4
6,Motorcycle rider,Male,47,40_to_64,4
7,Passenger,Female,29,26_to_39,3
8,Motorcycle rider,Male,19,17_to_25,2
9,Driver,Female,55,40_to_64,4
10,Driver,Female,45,40_to_64,4
11,Pedestrian,Male,50,40_to_64,4
12,Driver,Male,45,40_to_64,4
13,Driver,Male,61,40_to_64,4
14,Pedestrian,Male,74,65_to_74,1
15,Driver,Male,25,17_to_25,2
16,Pedestrian,Male,4,0_to_16,5
17,Driver,Male,27,26_to_39,3
18,Driver,Male,66,65_to_74,1
19,Driver,Male,27,26_to_39,3
20,Pedestrian,Female,65,65_to_74,1
21,Driver,Male,32,26_to_39,3
22,Driver,Male,25,17_to_25,2
23,Motorcycle rider,Male,69,65_to_74,1
24,Driver,Female,59,40_to_64,4
25,Passenger,Female,68,65_to_74,1
26,Motorcycle rider,Male,69,65_to_74,1
27,Passenger,Female,68,65_to_74,1
28,Driver,Male,76,75_or_older,6
29,Motorcycle rider,Male,35,26_to_39,3
30,Motorcycle rider,Male,55,40_to_64,4
31,Motorcycle rider,Male,63,40_to_64,4
32,Passenger,Female,66,65_to_74,1
33,Pedal cyclist,Male,61,40_to_64,4
34,Driver,Female,30,26_to_39,3
35,Driver,Male,34,26_to_39,3
36,Driver,Male,26,26_to_39,3
37,Motorcycle rider,Male,46,40_to_64,4
38,Pedestrian,Female,50,40_to_64,4
39,Pedestrian,Female,85,75_or_older,6
40,Driver,Female,92,75_or_older,6
41,Driver,Male,76,75_or_older,6
42,Motorcycle rider,Male,60,40_to_64,4
43,Driver,Female,74,65_to_74,1
44,Motorcycle rider,Male,26,26_to_39,3
45,Driver,Female,60,40_to_64,4
46,Passenger,Female,59,40_to_64,4
47,Motorcycle rider,Male,45,40_to_64,4
48,Driver,Female,90,75_or_older,6
49,Driver,Male,32,26_to_39,3
50,Driver,Male,49,40_to_64,4
51,Driver,Male,21,17_to_25,2
52,Passenger,Male,21,17_to_25,2
53,Driver,Male,16,0_to_16,5
54,Passenger,Female,22,17_to_25,2
55,Driver,Female,21,17_to_25,2
56,Passenger,Male,23,17_to_25,2
57,Passenger,Female,80,75_or_older,6
58,Passenger,Male,23,17_to_25,2
59,Pedestrian,Female,64,40_to_64,4
60,Driver,Female,17,17_to_25,2
61,Motorcycle rider,Male,71,65_to_74,1
62,Driver,Male,66,65_to_74,1
63,Motorcycle rider,Male,60,40_to_64,4
64,Driver,Male,54,40_to_64,4
65,Motorcycle rider,Male,18,17_to_25,2
66,Driver,Male,24,17_to_25,2
67,Pedestrian,Male,27,26_to_39,3
68,Driver,Male,38,26_to_39,3
69,Passenger,Female,97,75_or_older,6
70,Driver,Male,83,75_or_older,6
71,Driver,Male,49,40_to_64,4
72,Driver,Male,36,26_to_39,3
73,Driver,Male,70,65_to_74,1
74,Driver,Female,29,26_to_39,3
75,Motorcycle rider,Male,26,26_to_39,3
76,Driver,Male,43,40_to_64,4
77,Motorcycle rider,Male,61,40_to_64,4
78,Driver,Male,52,40_to_64,4
79,Motorcycle rider,Male,22,17_to_25,2
80,Driver,Male,53,40_to_64,4
81,Motorcycle rider,Male,44,40_to_64,4
82,Passenger,Female,57,40_to_64,4
83,Driver,Male,18,17_to_25,2
84,Passenger,Male,18,17_to_25,2
85,Driver,Male,53,40_to_64,4
86,Motorcycle rider,Male,25,17_to_25,2
87,Passenger,Female,44,40_to_64,4
88,Passenger,Female,64,40_to_64,4
89,Driver,Male,17,17_to_25,2
90,Pedestrian,Female,43,40_to_64,4
91,Driver,Female,83,75_or_older,6
92,Pedal cyclist,Male,71,65_to_74,1
93,Motorcycle rider,Male,69,65_to_74,1
94,Passenger,Male,87,75_or_older,6
95,Pedestrian,Female,58,40_to_64,4
96,Driver,Male,45,40_to_64,4
