crash_id,num_fatalities,place_id,datetime_id,road_id
20241115,1,1,1,1
20241125,1,2,2,2
20246013,1,3,3,3
20241002,1,4,4,4
20243185,1,5,5,4
20244016,1,6,6,5
20243168,1,7,7,6
20246003,1,8,8,3
20246001,1,9,9,4
20244081,1,10,10,3
20241087,1,11,11,7
20241054,1,12,12,8
20244042,1,13,13,9
20243246,1,14,14,10
20241101,1,15,15,11
20241216,1,16,16,12
20241300,1,17,17,4
20243007,1,18,18,4
20241278,1,19,19,1
20241149,1,20,20,13
20241068,1,21,21,8
20243273,1,22,22,9
20244020,1,23,23,5
20244055,2,13,24,8
20241094,1,24,25,14
20243160,2,25,26,4
20243209,1,26,26,3
20244001,1,27,27,1
20243243,1,28,28,15
20246016,1,29,29,4
20241119,2,30,30,9
20241169,1,31,31,16
20241291,1,32,32,8
20243036,1,33,33,9
20244026,1,34,34,3
20241077,1,35,35,17
20241028,1,15,36,17
20241022,1,36,37,5
20243015,1,37,38,6
20244023,1,23,39,5
20241098,1,31,40,18
20243114,2,38,41,5
20241040,1,39,42,4
20241174,1,40,43,19
20241088,1,41,44,1
20241255,1,42,45,1
20241053,2,43,46,1
20243046,2,44,47,12
20241080,1,45,48,19
20243044,1,46,49,4
20241274,1,47,50,4
20243176,1,14,51,12
20241181,1,48,52,8
20243110,1,49,53,6
20244044,1,50,54,5
20243147,1,51,55,16
20244019,1,52,56,20
20241194,1,53,57,21
20241139,1,54,58,3
20241197,1,55,59,4
20243220,1,51,60,20
20243267,1,56,61,22
20241057,1,57,62,8
20243174,1,37,63,16
20241166,1,58,64,5
20243213,1,59,65,4
20241096,1,39,66,4
20242089,1,60,67,19
20243073,1,61,68,15
20241027,1,62,69,4
20241163,1,41,70,5
20243143,1,63,71,9
20241222,1,64,72,4
20241218,1,65,73,8
20243249,1,66,74,20
20243098,1,59,75,23
20241306,1,67,76,12
20243037,1,14,77,3
20244083,1,68,78,6
20241196,1,69,79,24
20244028,2,27,80,1
20243038,1,7,81,9
20242023,1,70,82,15
20242230,1,71,83,1
20242127,1,72,84,10
20242120,1,73,85,1
