lga_name,state,lga_code
Wagga Wagga,NSW,1
Hawkesbury,NSW,2
Northern Midlands,TAS,3
Armidale,NSW,4
Lockyer Valley,QLD,5
Wakefield,SA,6
Southern Downs,QLD,7
Brighton,TAS,8
West Tamar,TAS,9
Mid Murray,SA,10
Blue Mountains,NSW,11
Upper Lachlan,NSW,12
Wattle Range,SA,13
Cairns,QLD,14
Wollongong,NSW,15
Penrith,NSW,16
Upper Hunter,NSW,17
South Burnett,QLD,18
Mid-Western,NSW,19
Canterbury-Bankstown,NSW,20
Greater Hume,NSW,21
Barossa,SA,22
Port Macquarie-Hastings,NSW,23
Mackay,QLD,24
Douglas,QLD,25
Yankalilla,SA,26
Logan,QLD,27
Dorset,TAS,28
Nambucca Valley,NSW,29
Narromine,NSW,30
Fraser Coast,QLD,31
Unincorporated SA,SA,32
Shellharbour,NSW,33
Narrabri,NSW,34
Cook,QLD,35
Tenterfield,NSW,36
Central Coast (NSW),NSW,37
Tamworth,NSW,38
Hilltops,NSW,39
Forbes,NSW,40
Toowoomba,QLD,41
Lake Macquarie,NSW,42
Livingstone,QLD,43
Blacktown,NSW,44
Balranald,NSW,45
Lockhart River,QLD,46
Light,SA,47
Cassowary Coast,QLD,48
Tumby Bay,SA,49
Liverpool,NSW,50
Cumberland,NSW,51
Muswellbrook,NSW,52
Moreton Bay,QLD,53
Ballina,NSW,54
Kyogle,NSW,55
Bundaberg,QLD,56
Melbourne,VIC,57
Brisbane,QLD,58
Snowy Valleys,NSW,59
Whitsunday,QLD,60
Fairfield,NSW,61
Yass Valley,NSW,62
Central Highlands (Qld),QLD,63
The Hills,NSW,64
Salisbury,SA,65
Port Stephens,NSW,66
Macedon Ranges,VIC,67
Moyne,VIC,68
Cardinia,VIC,69
East Gippsland,VIC,70
Hornsby,NSW,71
Whittlesea,VIC,72
Mareeba,QLD,73
Mid-Coast,NSW,74
Rockhampton,QLD,75
Ipswich,QLD,76
Glenelg,VIC,77
Western Downs,QLD,78
Port Adelaide Enfield,SA,79
Cabonne,NSW,80
Gold Coast,QLD,81
Unincorporated ACT,ACT,82
Frankston,VIC,83
Moree Plains,NSW,84
Parramatta,NSW,85
Meander Valley,TAS,86
Queanbeyan-Palerang,NSW,87
Snowy Monaro,NSW,88
Federation,NSW,89
Cowra,NSW,90
Goulburn Mulwaree,NSW,91
Gympie,QLD,92
Willoughby,NSW,93
Shoalhaven,NSW,94
Greater Bendigo,VIC,95
Nillumbik,VIC,96
Tatiara,SA,97
Tweed,NSW,98
Ararat,VIC,99
Colac Otway,VIC,100
McKinlay,QLD,101
Singleton,NSW,102
Gladstone,QLD,103
Lithgow,NSW,104
Campbelltown (NSW),NSW,105
Sunshine Coast,QLD,106
Warrumbungle,NSW,107
Noosa,QLD,108
Gawler,SA,109
Alpine,VIC,110
Baw Baw,VIC,111
Isaac,QLD,112
Maranoa,QLD,113
Southern Grampians,VIC,114
Cessnock,NSW,115
Scenic Rim,QLD,116
Somerset,QLD,117
Hinchinbrook,QLD,118
Playford,SA,119
Cobar,NSW,120
Adelaide Hills,SA,121
Bega Valley,NSW,122
Tea Tree Gully,SA,123
Kiama,NSW,124
Wollondilly,NSW,125
Casey,VIC,126
Northern Areas,SA,127
Tablelands,QLD,128
Sydney,NSW,129
Murrindindi,VIC,130
Albury,NSW,131
Boroondara,VIC,132
Redland,QLD,133
South Gippsland,VIC,134
Yarra Ranges,VIC,135
Surf Coast,VIC,136
Mount Barker,SA,137
Maitland,NSW,138
Hobart,TAS,139
Mitcham,SA,140
Clarence Valley,NSW,141
Adelaide,SA,142
Lismore,NSW,143
Greater Shepparton,VIC,144
Merri-bek,VIC,145
Narrandera,NSW,146
Huon Valley,TAS,147
Griffith,NSW,148
Wodonga,VIC,149
Darebin,VIC,150
Ballarat,VIC,151
Wingecarribee,NSW,152
Maroondah,VIC,153
North Burnett,QLD,154
Mornington Peninsula,VIC,155
Unley,SA,156
Alexandrina,SA,157
Melton,VIC,158
Burdekin,QLD,159
Knox,VIC,160
Monash,VIC,161
Unincorporated NSW,NSW,162
Barcaldine,QLD,163
Wyndham,VIC,164
Glen Innes Severn,NSW,165
