lga_name,sa4_name,remoteness,state,place_id
Wagga Wagga,Riverina,Inner Regional Australia,NSW,1
Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,Inner Regional Australia,NSW,2
Northern Midlands,Launceston and North East,Inner Regional Australia,TAS,3
Armidale,New England and North West,Outer Regional Australia,NSW,4
Lockyer Valley,Toowoomba,Inner Regional Australia,QLD,5
Wakefield,Barossa - Yorke - Mid North,Outer Regional Australia,SA,6
Southern Downs,Darling Downs - Maranoa,Inner Regional Australia,QLD,7
Brighton,Hobart,Inner Regional Australia,TAS,8
West Tamar,Launceston and North East,Outer Regional Australia,TAS,9
Mid Murray,South Australia - South East,Outer Regional Australia,SA,10
Blue Mountains,Sydney - Outer West and Blue Mountains,Major Cities of Australia,NSW,11
Upper Lachlan,Capital Region,Inner Regional Australia,NSW,12
Wattle Range,South Australia - South East,Outer Regional Australia,SA,13
Cairns,Cairns,Outer Regional Australia,QLD,14
Wollongong,Illawarra,Major Cities of Australia,NSW,15
Penrith,Sydney - Outer West and Blue Mountains,Major Cities of Australia,NSW,16
Upper Hunter,Hunter Valley exc Newcastle,Outer Regional Australia,NSW,17
South Burnett,Wide Bay,Outer Regional Australia,QLD,18
Mid-Western,Central West,Outer Regional Australia,NSW,19
Canterbury-Bankstown,Sydney - Inner South West,Major Cities of Australia,NSW,20
Greater Hume,Murray,Outer Regional Australia,NSW,21
Southern Downs,Darling Downs - Maranoa,Outer Regional Australia,QLD,22
Barossa,Barossa - Yorke - Mid North,Inner Regional Australia,SA,23
Port Macquarie-Hastings,Mid North Coast,Inner Regional Australia,NSW,24
Mackay,Mackay - Isaac - Whitsunday,Outer Regional Australia,QLD,25
Douglas,Cairns,Outer Regional Australia,QLD,26
Yankalilla,South Australia - South East,Inner Regional Australia,SA,27
Logan,Logan - Beaudesert,Major Cities of Australia,QLD,28
Dorset,Launceston and North East,Outer Regional Australia,TAS,29
Armidale,New England and North West,Inner Regional Australia,NSW,30
