road_user_id,road_user_type,gender,age,age_group
1,Driver,Male,74,65_to_74
2,Driver,Female,19,17_to_25
3,Driver,Female,33,26_to_39
4,Driver,Female,32,26_to_39
5,Passenger,Female,61,40_to_64
6,Motorcycle rider,Male,47,40_to_64
7,Passenger,Female,29,26_to_39
8,Motorcycle rider,Male,19,17_to_25
9,Driver,Female,55,40_to_64
10,Driver,Female,45,40_to_64
11,Pedestrian,Male,50,40_to_64
12,Driver,Male,45,40_to_64
13,Driver,Male,61,40_to_64
14,Pedestrian,Male,74,65_to_74
15,Driver,Male,25,17_to_25
16,Pedestrian,Male,4,0_to_16
17,Driver,Male,27,26_to_39
18,Driver,Male,66,65_to_74
19,Driver,Male,27,26_to_39
20,Pedestrian,Female,65,65_to_74
21,Driver,Male,32,26_to_39
22,Driver,Male,25,17_to_25
23,Motorcycle rider,Male,69,65_to_74
24,Driver,Female,59,40_to_64
25,Passenger,Female,68,65_to_74
26,Motorcycle rider,Male,69,65_to_74
27,Passenger,Female,68,65_to_74
28,Driver,Male,76,75_or_older
29,Motorcycle rider,Male,35,26_to_39
30,Motorcycle rider,Male,55,40_to_64
31,Motorcycle rider,Male,63,40_to_64
32,Passenger,Female,66,65_to_74
33,Pedal cyclist,Male,61,40_to_64
34,Driver,Female,30,26_to_39
35,Driver,Male,34,26_to_39
36,Driver,Male,26,26_to_39
37,Motorcycle rider,Male,46,40_to_64
38,Pedestrian,Female,50,40_to_64
39,Pedestrian,Female,85,75_or_older
40,Driver,Female,92,75_or_older
41,Driver,Male,76,75_or_older
42,Motorcycle rider,Male,60,40_to_64
43,Driver,Female,74,65_to_74
44,Motorcycle rider,Male,26,26_to_39
45,Driver,Female,60,40_to_64
46,Passenger,Female,59,40_to_64
47,Motorcycle rider,Male,45,40_to_64
48,Driver,Female,90,75_or_older
49,Driver,Male,32,26_to_39
50,Driver,Male,49,40_to_64
51,Driver,Male,21,17_to_25
52,Passenger,Male,21,17_to_25
53,Driver,Male,16,0_to_16
54,Passenger,Female,22,17_to_25
55,Driver,Female,21,17_to_25
56,Passenger,Male,23,17_to_25
57,Passenger,Female,80,75_or_older
58,Passenger,Male,23,17_to_25
59,Pedestrian,Female,64,40_to_64
60,Driver,Female,17,17_to_25
61,Motorcycle rider,Male,71,65_to_74
62,Driver,Male,66,65_to_74
63,Motorcycle rider,Male,60,40_to_64
64,Driver,Male,54,40_to_64
65,Motorcycle rider,Male,18,17_to_25
66,Driver,Male,24,17_to_25
67,Pedestrian,Male,27,26_to_39
68,Driver,Male,38,26_to_39
69,Passenger,Female,97,75_or_older
70,Driver,Male,83,75_or_older
71,Driver,Male,49,40_to_64
72,Driver,Male,36,26_to_39
73,Driver,Male,70,65_to_74
74,Driver,Female,29,26_to_39
75,Motorcycle rider,Male,26,26_to_39
76,Driver,Male,43,40_to_64
77,Motorcycle rider,Male,61,40_to_64
78,Driver,Male,52,40_to_64
79,Motorcycle rider,Male,22,17_to_25
80,Driver,Male,53,40_to_64
81,Motorcycle rider,Male,44,40_to_64
82,Passenger,Female,57,40_to_64
83,Driver,Male,18,17_to_25
84,Passenger,Male,18,17_to_25
85,Driver,Male,53,40_to_64
86,Motorcycle rider,Male,25,17_to_25
87,Passenger,Female,44,40_to_64
88,Passenger,Female,64,40_to_64
89,Driver,Male,17,17_to_25
90,Pedestrian,Female,43,40_to_64
91,Driver,Female,83,75_or_older
92,Pedal cyclist,Male,71,65_to_74
93,Motorcycle rider,Male,69,65_to_74
94,Passenger,Male,87,75_or_older
95,Pedestrian,Female,58,40_to_64
96,Driver,Male,45,40_to_64
97,Motorcycle rider,Male,43,40_to_64
98,Driver,Male,38,26_to_39
99,Driver,Male,15,0_to_16
100,Driver,Male,27,26_to_39
101,Pedestrian,Male,63,40_to_64
102,Motorcycle rider,Male,38,26_to_39
103,Pedal cyclist,Male,36,26_to_39
104,Motorcycle rider,Male,47,40_to_64
105,Driver,Female,78,75_or_older
106,Driver,Female,19,17_to_25
107,Driver,Female,76,75_or_older
108,Passenger,Male,23,17_to_25
109,Driver,Female,78,75_or_older
110,Passenger,Male,25,17_to_25
111,Pedestrian,Male,29,26_to_39
112,Driver,Male,37,26_to_39
113,Pedestrian,Female,71,65_to_74
114,Driver,Male,18,17_to_25
115,Driver,Female,42,40_to_64
116,Driver,Female,15,0_to_16
117,Driver,Male,26,26_to_39
118,Driver,Male,21,17_to_25
119,Passenger,Female,60,40_to_64
120,Driver,Male,57,40_to_64
121,Driver,Male,30,26_to_39
122,Driver,Male,36,26_to_39
123,Pedestrian,Female,48,40_to_64
124,Motorcycle rider,Female,60,40_to_64
125,Motorcycle rider,Male,68,65_to_74
126,Motorcycle rider,Male,66,65_to_74
127,Pedal cyclist,Male,65,65_to_74
128,Passenger,Male,19,17_to_25
129,Driver,Male,20,17_to_25
130,Pedestrian,Male,35,26_to_39
131,Pedestrian,Male,28,26_to_39
132,Driver,Male,45,40_to_64
133,Passenger,Male,30,26_to_39
134,Driver,Male,70,65_to_74
135,Pedestrian,Female,31,26_to_39
136,Driver,Male,62,40_to_64
137,Driver,Female,69,65_to_74
138,Pedestrian,Female,83,75_or_older
139,Driver,Female,51,40_to_64
140,Driver,Male,37,26_to_39
141,Passenger,Male,66,65_to_74
142,Driver,Male,76,75_or_older
143,Motorcycle rider,Male,55,40_to_64
144,Driver,Male,31,26_to_39
145,Driver,Male,60,40_to_64
146,Driver,Male,56,40_to_64
147,Driver,Female,55,40_to_64
148,Passenger,Male,82,75_or_older
149,Pedal cyclist,Male,43,40_to_64
150,Driver,Male,66,65_to_74
151,Pedestrian,Female,21,17_to_25
152,Driver,Male,56,40_to_64
153,Driver,Male,29,26_to_39
154,Driver,Female,75,75_or_older
155,Driver,Male,53,40_to_64
156,Motorcycle rider,Male,32,26_to_39
157,Driver,Female,31,26_to_39
158,Driver,Male,42,40_to_64
159,Driver,Female,40,40_to_64
160,Driver,Male,56,40_to_64
161,Passenger,Female,40,40_to_64
162,Passenger,Male,13,0_to_16
163,Motorcycle rider,Male,64,40_to_64
164,Driver,Female,24,17_to_25
165,Driver,Male,27,26_to_39
166,Passenger,Male,37,26_to_39
167,Pedestrian,Male,81,75_or_older
168,Pedestrian,Female,80,75_or_older
169,Driver,Female,21,17_to_25
170,Motorcycle rider,Male,39,26_to_39
171,Pedestrian,Male,27,26_to_39
172,Motorcycle rider,Male,54,40_to_64
173,Driver,Female,17,17_to_25
174,Passenger,Female,76,75_or_older
175,Motorcycle rider,Male,19,17_to_25
176,Motorcycle rider,Female,55,40_to_64
177,Driver,Female,44,40_to_64
178,Motorcycle rider,Male,28,26_to_39
179,Pedestrian,Male,91,75_or_older
180,Driver,Male,45,40_to_64
181,Passenger,Female,11,0_to_16
182,Driver,Female,53,40_to_64
183,Driver,Male,63,40_to_64
184,Driver,Male,62,40_to_64
185,Driver,Male,43,40_to_64
186,Driver,Male,73,65_to_74
187,Driver,Male,24,17_to_25
188,Motorcycle rider,Male,46,40_to_64
189,Driver,Female,48,40_to_64
190,Pedestrian,Male,69,65_to_74
191,Driver,Male,30,26_to_39
192,Driver,Male,37,26_to_39
193,Motorcycle rider,Male,51,40_to_64
194,Driver,Male,46,40_to_64
195,Motorcycle rider,Male,73,65_to_74
196,Passenger,Female,78,75_or_older
197,Driver,Male,73,65_to_74
198,Passenger,Female,74,65_to_74
199,Motorcycle rider,Male,20,17_to_25
200,Driver,Male,18,17_to_25
201,Motorcycle rider,Male,27,26_to_39
202,Driver,Male,27,26_to_39
203,Passenger,Male,14,0_to_16
204,Driver,Male,37,26_to_39
205,Driver,Female,53,40_to_64
206,Motorcycle rider,Male,41,40_to_64
207,Motorcycle rider,Male,27,26_to_39
208,Motorcycle rider,Male,48,40_to_64
209,Motorcycle rider,Female,34,26_to_39
210,Motorcycle rider,Male,22,17_to_25
211,Passenger,Male,58,40_to_64
212,Passenger,Female,68,65_to_74
213,Passenger,Male,5,0_to_16
214,Passenger,Female,15,0_to_16
215,Motorcycle rider,Male,37,26_to_39
216,Driver,Male,56,40_to_64
217,Driver,Male,20,17_to_25
218,Driver,Male,21,17_to_25
219,Driver,Male,30,26_to_39
220,Driver,Male,35,26_to_39
221,Pedestrian,Female,2,0_to_16
222,Motorcycle rider,Female,59,40_to_64
223,Motorcycle rider,Male,76,75_or_older
224,Pedestrian,Male,76,75_or_older
225,Driver,Male,51,40_to_64
226,Driver,Male,44,40_to_64
227,Driver,Male,34,26_to_39
228,Driver,Male,77,75_or_older
229,Motorcycle rider,Male,19,17_to_25
230,Motorcycle rider,Male,65,65_to_74
231,Motorcycle rider,Male,21,17_to_25
232,Motorcycle rider,Male,27,26_to_39
233,Motorcycle rider,Male,21,17_to_25
234,Motorcycle rider,Female,33,26_to_39
