vehicle_id,crash_id,bus_flag,heavy_rigid_flag,articulated_flag,State,vehicle_type
1,20241115,False,False,False,NSW,Other
2,20241125,False,False,False,NSW,Other
3,20246013,False,False,False,TAS,Other
4,20241002,False,False,False,NSW,Other
5,20243185,False,False,False,QLD,Other
6,20244016,False,False,False,SA,Other
7,20243168,False,False,False,QLD,Other
8,20246003,False,False,False,TAS,Other
9,20246001,False,False,False,TAS,Other
10,20244081,False,False,False,SA,Other
11,20241087,False,False,False,NSW,Other
12,20241054,False,False,True,NSW,Articulated Truck
13,20244042,False,False,False,SA,Other
14,20243246,False,False,False,QLD,Other
15,20241101,False,False,True,NSW,Articulated Truck
16,20241216,False,False,False,NSW,Other
17,20241300,False,False,False,NSW,Other
18,20243007,False,False,False,QLD,Other
19,20241278,False,False,False,NSW,Other
20,20241149,False,False,False,NSW,Other
21,20241068,True,False,True,NSW,Bus
22,20243273,False,False,False,QLD,Other
23,20244020,False,False,False,SA,Other
24,20244055,False,False,False,SA,Other
25,20241094,False,False,False,NSW,Other
26,20243160,False,False,False,QLD,Other
27,20243209,False,False,False,QLD,Other
28,20244001,False,False,False,SA,Other
29,20243243,False,True,False,QLD,Heavy Rigid Truck
30,20246016,False,False,False,TAS,Other
31,20241119,False,False,False,NSW,Other
32,20241169,False,False,False,NSW,Other
33,20241291,False,False,True,NSW,Articulated Truck
34,20243036,False,False,False,QLD,Other
35,20244026,False,False,False,SA,Other
36,20241077,False,False,False,NSW,Other
37,20241028,False,False,False,NSW,Other
38,20241022,False,False,False,NSW,Other
39,20243015,False,False,False,QLD,Other
40,20244023,False,False,False,SA,Other
41,20241098,False,False,False,NSW,Other
42,20243114,False,False,False,QLD,Other
43,20241040,False,False,False,NSW,Other
44,20241174,False,False,False,NSW,Other
45,20241088,False,False,False,NSW,Other
46,20241255,False,False,False,NSW,Other
47,20241053,False,False,False,NSW,Other
48,20243046,False,False,False,QLD,Other
49,20241080,False,False,False,NSW,Other
50,20243044,False,False,True,QLD,Articulated Truck
51,20241274,False,False,False,NSW,Other
52,20243176,False,False,False,QLD,Other
53,20241181,False,False,True,NSW,Articulated Truck
54,20243110,False,False,False,QLD,Other
55,20244044,False,False,False,SA,Other
56,20243147,False,False,False,QLD,Other
57,20244019,False,False,False,SA,Other
58,20241194,False,True,True,NSW,Heavy Rigid Truck
59,20241139,True,False,False,NSW,Bus
60,20241197,False,False,True,NSW,Articulated Truck
61,20243220,False,False,False,QLD,Other
62,20243267,False,False,False,QLD,Other
63,20241057,False,False,False,NSW,Other
64,20243174,False,False,False,QLD,Other
65,20241166,False,False,False,NSW,Other
66,20243213,False,False,True,QLD,Articulated Truck
67,20241096,False,False,False,NSW,Other
68,20242089,False,False,False,VIC,Other
69,20243073,False,False,False,QLD,Other
70,20241027,False,False,False,NSW,Other
71,20241163,False,False,False,NSW,Other
72,20243143,False,False,False,QLD,Other
73,20241222,False,False,False,NSW,Other
74,20241218,False,False,False,NSW,Other
75,20243249,False,False,False,QLD,Other
76,20243098,False,False,False,QLD,Other
77,20241306,False,False,False,NSW,Other
78,20243037,False,False,False,QLD,Other
79,20244083,False,False,False,SA,Other
80,20241196,False,False,False,NSW,Other
81,20244028,False,False,False,SA,Other
82,20243038,False,False,False,QLD,Other
83,20242023,False,False,True,VIC,Articulated Truck
84,20242230,False,False,False,VIC,Other
85,20242127,False,False,False,VIC,Other
86,20242120,False,False,False,VIC,Other
87,20241106,False,False,False,NSW,Other
88,20241230,False,False,False,NSW,Other
89,20241055,False,False,False,NSW,Other
